Year,NBA Champion,MVP Name,MVP Position,MVP Team
1950,Minneapolis Lakers,N/A,N/A,N/A
1951,Rochester Royals,N/A,N/A,N/A
1952,Minneapolis Lakers,N/A,N/A,N/A
1953,Minneapolis Lakers,N/A,N/A,N/A
1954,Minneapolis Lakers,N/A,N/A,N/A
1955,Syracuse Nationals,N/A,N/A,N/A
1956,Philadelphia Warriors,B. Pettit,Forward,Saint Louis Hawks
1957,Boston Celtics,B. Cousy,Guard,Boston Celtics
1958,St. Louis Hawks,B. Russell,Center,Boston Celtics
1959,Boston Celtics,B. Pettit,Forward,Saint Louis Hawks
1960,Boston Celtics,W. Chamberlain,Center,Philadelphia Warriors
1961,Boston Celtics,B. Russell,Center,Boston Celtics
1962,Boston Celtics,B. Russell,Center,Boston Celtics
1963,Boston Celtics,B. Russell,Center,Boston Celtics
1964,Boston Celtics,O. Robertson,Guard,Cincinnati Royals
1965,Boston Celtics,B. Russell,Center,Boston Celtics
1966,Boston Celtics,W. Chamberlain,Center,Philadelphia 76ers
1967,Philadelphia 76ers,W. Chamberlain,Center,Philadelphia 76ers
1968,Boston Celtics,W. Chamberlain,Center,Philadelphia 76ers
1969,Boston Celtics,W. Unseld,Center,Baltimore Bullets
1970,New York Knicks,W. Reed,Center,New York Knicks
1971,Milwaukee Bucks,K. AJabbar,Center,Milwaukee Bucks
1972,Los Angeles Lakers,K. AJabbar,Center,Milwaukee Bucks
1973,New York Knicks,D. Cowens,Center,Boston Celtics
1974,Boston Celtics,K. AJabbar,Center,Milwaukee Bucks
1975,Golden State Warriors,B. McAdoo,Center,Buffalo Braves
1976,Boston Celtics,K. AJabbar,Center,Los Angeles Lakers
1977,Portland Trail Blazers,K. AJabbar,Center,Los Angeles Lakers
1978,Washington Bullets,B. Walton,Center,Portland Trail Blazers
1979,Seattle SuperSonics,M. Malone,Center,Houston Rockets
1980,Los Angeles Lakers,K. AJabbar,Center,Los Angeles Lakers
1981,Boston Celtics,J. Erving,Forward,Philadelphia 76ers
1982,Los Angeles Lakers,M. Malone,Center,Houston Rockets
1983,Philadelphia 76ers,M. Malone,Center,Philadelphia 76ers
1984,Boston Celtics,L. Bird,Forward,Boston Celtics
1985,Los Angeles Lakers,L. Bird,Forward,Boston Celtics
1986,Boston Celtics,L. Bird,Forward,Boston Celtics
1987,Los Angeles Lakers,M. Johnson,Guard,Los Angeles Lakers
1988,Los Angeles Lakers,M. Jordan,Guard,Chicago Bulls
1989,Detroit Pistons,M. Johnson,Guard,Los Angeles Lakers
1990,Detroit Pistons,M. Johnson,Guard,Los Angeles Lakers
1991,Chicago Bulls,M. Jordan,Guard,Chicago Bulls
1992,Chicago Bulls,M. Jordan,Guard,Chicago Bulls
1993,Chicago Bulls,C. Barkley,Forward,Phoenix Suns
1994,Houston Rockets,H. Olajuwon,Center,Houston Rockets
1995,Houston Rockets,D. Robinson,Center,San Antonio Spurs
1996,Chicago Bulls,M. Jordan,Guard,Chicago Bulls
1997,Chicago Bulls,K. Malone,Forward,Utah Jazz
1998,Chicago Bulls,M. Jordan,Guard,Chicago Bulls
1999,San Antonio Spurs,K. Malone,Forward,Utah Jazz
2000,Los Angeles Lakers,S. O'Neal,Center,Los Angeles Lakers
2001,Los Angeles Lakers,A. Iverson,Guard,Philadelphia 76ers
2002,Los Angeles Lakers,T. Duncan,Forward,San Antonio Spurs
2003,San Antonio Spurs,T. Duncan,Forward,San Antonio Spurs
2004,Detroit Pistons,K. Garnett,Forward,Minnesota Timberwolves
2005,San Antonio Spurs,S. Nash,Guard,Phoenix Suns
2006,Miami Heat,S. Nash,Guard,Phoenix Suns
2007,San Antonio Spurs,D. Nowitzki,Forward,Dallas Mavericks
2008,Boston Celtics,K. Bryant,Guard,Los Angeles Lakers
2009,Los Angeles Lakers,L. James,Forward,Cleveland Cavaliers
2010,Los Angeles Lakers,L. James,Forward,Cleveland Cavaliers
2011,Dallas Mavericks,D. Rose,Guard,Chicago Bulls
2012,Miami Heat,L. James,Forward,Miami Heat
2013,Miami Heat,L. James,Forward,Miami Heat
2014,San Antonio Spurs,K. Durant,Forward,Oklahoma City Thunder
2015,Golden State Warriors,S. Curry,Guard,Golden State Warriors
2016,Cleveland Cavaliers,S. Curry,Guard,Golden State Warriors
2017,Golden State Warriors,R. Westbrook,Guard,Oklahoma City Thunder
2018,Golden State Warriors,J. Harden,Guard,Houston Rockets
