bioID,Full Name,pos,height,weight,college,birthDate,deathDate,race
abdelal01,Alaa  Abdelnaby,F-C,82,240,Duke,6/24/1968,0000-00-00,B
abdulka01,Kareem  Abdul-Jabbar,C,85,225,UCLA,4/16/1947,0000-00-00,B
abdulma01,Mahdi  Abdul-Rahman,G,74,185,UCLA,4/15/1942,11/18/2011,B
abdulma02,Mahmoud  Abdul-Rauf,G,73,162,Louisiana State,3/9/1969,0000-00-00,B
abdulta01,Tariq  Abdul-Wahad,G-F,78,223,San Jose State,11/3/1974,0000-00-00,B
abdulza01,Zaid  Abdul-Aziz,C-F,81,230,Iowa State,4/7/1946,0000-00-00,B
ablefo01,Forest Edward Able,G,75,180,Western Kentucky,7/27/1932,0000-00-00,W
abramjo01,John  Abramovic,F,75,195,Salem,2/9/1919,6/9/2000,W
ackeral01,Alex  Acker,G,77,185,Pepperdine,1/21/1983,0000-00-00,B
acresma01,Mark Richard Acres,F-C,83,220,Oral Roberts,11/15/1962,0000-00-00,W
adamsal01,Alvan Leigh Adams,C-F,81,210,Oklahoma,7/19/1954,0000-00-00,W
adamsge01,George  Adams,F-G,77,210,Gardner-Webb,5/15/1949,0000-00-00,B
adamsha01,Hassan Olawale Adams,G,76,220,Arizona,6/20/1984,0000-00-00,B
adamsmi01,Michael  Adams,G,70,162,Boston College,1/19/1963,0000-00-00,B
addisra01,Rafael  Addison,F-G,79,215,Syracuse,7/22/1964,0000-00-00,B
adrieje01,Jeff  Adrien,F,79,243,Connecticut,2/10/1986,0000-00-00,B
agerma01,Maurice Darnell Ager,G,77,202,Michigan State,2/9/1984,0000-00-00,B
aguirma01,Mark Anthony Aguirre,F-G,78,232,DePaul,12/10/1959,0000-00-00,B
akinhe01,Henry T. Akin,C-F,82,225,Morehead State,7/31/1944,0000-00-00,W
alarima01,Mark Steven Alarie,F,80,217,Duke,12/11/1963,0000-00-00,W
alcorga01,Gary R. Alcorn,C,81,225,Fresno State,10/8/1936,11/29/2006,W
aldrico01,Cole David Aldrich,C,83,245,Kansas,10/31/1988,0000-00-00,W
aldrila01,LaMarcus Nurae Aldridge,F,83,240,Texas,7/19/1985,0000-00-00,B
alexaco01,Cory Lynn Alexander,G,73,185,Virginia,6/22/1973,0000-00-00,B
alexaco02,Courtney Jason Alexander,G,77,205,Fresno State,4/27/1977,0000-00-00,B
alexaga01,Gary R. Alexander,F,79,240,Jacksonville,11/1/1969,0000-00-00,B
alexavi01,Victor Joe Alexander,C-F,81,265,Iowa State,8/31/1969,0000-00-00,B
allenje01,Jerome Byron Allen,G,76,184,Pennsylvania,1/28/1973,0000-00-00,B
allenla01,Lavoy  Allen,F,81,225,Temple,2/4/1989,0000-00-00,B
allenlu01,Lucius Oliver Allen,G,74,175,UCLA,9/26/1947,0000-00-00,B
allenma01,Malik  Allen,F,82,255,Villanova,6/27/1978,0000-00-00,B
allenwi01,Willie  Allen,F,78,230,Miami (FL),2/8/1949,0000-00-00,B
allisod01,Odis  Allison,F,78,195,UNLV,10/2/1949,0000-00-00,B
