playerID,Starting Year,Last Year,Full Name,pos,MVP,height,weight,college,birthDate,deathDate,race,Year Inducted,Total GP,Total GS,Total Minutes,Total Points,Total Off. Rebounds,Total Def. Rebounds,Total Rebounds,Total Assists,Total Steals,Total Blocks,Total Turnovers,Total PF,Total FG Attempted,Total FG Made,Total FT Attempted,Total FT Made,Total Three Attempted,Total Three Made,Total FG Points,Total Three Made Points,Total FG %,Total FT %,Total Three %,Years Played,GP per Year,Minutes per Game,Points per Game,O. Rebounds per Game,D. Rebounds per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turnovers per Game,PF per Game
abdelal01,1990,1994,Alaa Abdelnaby,F-C,0,82.0,240.0,Duke,6/24/1968,0000-00-00,B,,273,0,3306,1503,286,580,866,88,71,71,258,495,1276,638,325,227,3,0,1276,0,0.5,0.6984615384615385,0.0,5,54.6,12.10989010989011,5.5054945054945055,1.0476190476190477,2.1245421245421245,3.172161172161172,0.32234432234432236,0.2600732600732601,0.2600732600732601,0.945054945054945,1.8131868131868132
abdulma02,1990,2000,Mahmoud Abdul-Rauf,G,0,73.0,162.0,Louisiana State,3/9/1969,0000-00-00,B,,601,0,16043,8748,224,886,1110,2114,494,47,985,1143,8130,3583,1206,1094,1388,488,7166,1464,0.44071340713407137,0.9071310116086235,0.3515850144092219,11,54.63636363636363,26.693843594009984,14.555740432612312,0.37271214642262895,1.4742096505823628,1.8469217970049916,3.5174708818635607,0.8219633943427621,0.07820299500831947,1.6389351081530783,1.901830282861897
abdulta01,1997,2002,Tariq Abdul-Wahad,G-F,0,78.0,223.0,San Jose State,11/3/1974,0000-00-00,B,,249,0,4985,1898,303,514,817,277,188,87,313,499,1789,744,553,392,79,18,1488,54,0.4158747903856903,0.7088607594936709,0.22784810126582278,6,41.5,20.02008032128514,7.622489959839357,1.216867469879518,2.0642570281124497,3.281124497991968,1.1124497991967872,0.7550200803212851,0.3493975903614458,1.2570281124497993,2.004016064257028
abdursh01,1996,2007,Julius Shareef Abdur-Rahim,F,0,81.0,225.0,California,12/11/1976,0000-00-00,B,,836,0,29007,15083,1877,4391,6268,2116,822,638,2147,2351,11558,5457,4958,4015,522,154,10914,462,0.4721405087385361,0.8098023396530859,0.2950191570881226,12,69.66666666666667,34.69736842105263,18.041866028708135,2.2452153110047846,5.252392344497608,7.497607655502392,2.5311004784688995,0.9832535885167464,0.7631578947368421,2.5681818181818183,2.812200956937799
abernto01,1976,1980,Thomas Craig Abernethy,F,0,79.0,220.0,Indiana,5/6/1954,0000-00-00,W,,332,0,5660,1847,388,665,1053,407,192,62,129,543,1526,746,472,355,2,0,1492,0,0.4888597640891219,0.7521186440677966,0.0,5,66.4,17.048192771084338,5.563253012048193,1.1686746987951808,2.003012048192771,3.1716867469879517,1.2259036144578312,0.5783132530120482,0.18674698795180722,0.3885542168674699,1.6355421686746987
ackeral01,2005,2008,Alex Acker,G,0,77.0,185.0,Pepperdine,1/21/1983,0000-00-00,B,,30,0,234,81,9,20,29,16,6,4,11,13,92,34,10,5,25,8,68,24,0.3695652173913043,0.5,0.32,4,7.5,7.8,2.7,0.3,0.6666666666666666,0.9666666666666667,0.5333333333333333,0.2,0.13333333333333333,0.36666666666666664,0.43333333333333335
acresma01,1987,1992,Mark Richard Acres,F-C,0,83.0,220.0,Oral Roberts,11/15/1962,0000-00-00,W,,394,0,6142,1380,595,967,1562,182,138,105,241,965,1043,528,481,317,15,7,1056,21,0.5062320230105465,0.659043659043659,0.4666666666666667,6,65.66666666666667,15.588832487309645,3.50253807106599,1.5101522842639594,2.454314720812183,3.964467005076142,0.4619289340101523,0.350253807106599,0.26649746192893403,0.6116751269035533,2.449238578680203
adamsal01,1975,1987,Alvan Leigh Adams,C-F,0,81.0,210.0,Oklahoma,7/19/1954,0000-00-00,W,,1066,0,29491,14986,2184,5341,7525,4332,1377,880,2348,3465,12394,6149,3416,2686,15,2,12298,6,0.4961271583024044,0.7862997658079626,0.13333333333333333,13,82.0,27.665103189493433,14.058161350844278,2.048780487804878,5.01031894934334,7.059099437148218,4.063789868667917,1.2917448405253282,0.8255159474671669,2.202626641651032,3.25046904315197
adamsdo01,1970,1976,Donald L. Adams,F,0,78.0,210.0,Northwestern,11/27/1947,0000-00-00,B,,555,0,14341,4844,466,1051,3079,1102,359,76,107,1815,4782,1921,1357,1002,3,0,3842,0,0.40171476369719783,0.7383935151068534,0.0,7,79.28571428571429,25.83963963963964,8.727927927927928,0.8396396396396396,1.8936936936936937,5.5477477477477475,1.9855855855855855,0.6468468468468469,0.13693693693693693,0.1927927927927928,3.27027027027027
adamsge01,1972,1974,George Adams,F-G,0,77.0,210.0,Gardner-Webb,5/15/1949,0000-00-00,B,,224,0,4087,1732,329,578,907,332,92,63,308,386,1506,750,288,228,17,4,1500,12,0.49800796812749004,0.7916666666666666,0.23529411764705882,3,74.66666666666667,18.245535714285715,7.732142857142857,1.46875,2.580357142857143,4.049107142857143,1.4821428571428572,0.4107142857142857,0.28125,1.375,1.7232142857142858
