Bio ID,Full Name,Hall of Fame Induction Year,GP,GS,Number of Records,Total Points,Assists,Blocks,Post GP,GP,GS,Minutes,PF,Rebounds,Steals,Turnovers,D Rebounds,Fg Attempted,Fg Made,Fg Point,% Fg,Ft Attempted,Ft Made,% FT,O Rebounds,Three Attempted,Three Made,Three Points,% FT,Height,Pos,Race,Stint,Tm ID,Weight,Year,Birth Date,College,Death Date
abramjo01,John  Abramovic,,47,0,1,527,35,0,0,0,0,0,161,0,0,0,0,834,202,404,24.22%,178,123,69.10%,0,0,0,0,0.00%,75,F,W,1,PIT,195,1946,2/9/1919,Salem,6/9/2000
aubucch01,Chester J. Aubuchon,,30,0,1,65,20,0,0,0,0,0,46,0,0,0,0,91,23,46,25.27%,35,19,54.29%,0,0,0,0,0.00%,70,G,W,1,DTF,137,1946,5/18/1916,Michigan State,4/14/2005
bakerno01,Norman Henry Baker,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,0,0,0.00%,0,0,0,0,0.00%,72,G,W,1,CHS,180,1946,2/17/1923,none,4/23/1989
baltihe01,Herschel David Baltimore,,58,0,1,142,16,0,3,3,3,0,101,0,0,0,0,273,55,110,20.15%,70,32,45.71%,0,0,0,0,0.00%,76,F,W,1,STB,195,1946,6/21/1921,Penn State,1/1/1968
barrjo01,John E. Barr,,58,0,1,295,54,0,0,0,0,0,164,0,0,0,0,438,124,248,28.31%,79,47,59.49%,0,0,0,0,0.00%,75,F,W,1,STB,205,1946,8/8/1918,Penn State,7/1/2002
baumhfr01,Frank Conrad Baumholtz,,45,0,1,631,54,0,0,0,0,0,93,0,0,0,0,856,255,510,29.79%,156,121,77.56%,0,0,0,0,0.00%,70,G,W,1,CLR,170,1946,10/7/1918,Ohio University,12/14/1997
beckemo01,Morris R. Becker,,17,0,1,108,14,0,0,0,0,0,50,0,0,0,0,229,46,92,20.09%,30,16,53.33%,0,0,0,0,0.00%,73,G-F,W,1,PIT,185,1946,2/24/1917,Duquesne,1/9/1996
beckemo01,Morris R. Becker,,6,0,1,13,1,0,0,0,0,0,15,0,0,0,0,22,5,10,22.73%,4,3,75.00%,0,0,0,0,0.00%,73,G-F,W,2,BOS,185,1946,2/24/1917,Duquesne,1/9/1996
beckemo01,Morris R. Becker,,20,0,1,41,15,0,0,0,0,0,33,0,0,0,0,107,19,38,17.76%,10,3,30.00%,0,0,0,0,0.00%,73,G-F,W,3,DTF,185,1946,2/24/1917,Duquesne,1/9/1996
beendha01,Henry G. Beenders,,58,0,1,713,37,0,0,0,0,0,196,0,0,0,0,1016,266,532,26.18%,257,181,70.43%,0,0,0,0,0.00%,77.5,C-F,W,1,PRO,185,1946,6/2/1916,LIU,10/25/2003
biasaha01,Henry Arcado Biasatti,,6,0,1,6,0,0,0,0,0,0,3,0,0,0,0,5,2,4,40.00%,4,2,50.00%,0,0,0,0,0.00%,71,G,W,1,TRH,175,1946,1/14/1922,Assumption (ONT),4/20/1996
brighal01,Horace Albert Brightman,,58,0,1,567,60,0,0,0,0,0,115,0,0,0,0,870,223,446,25.63%,193,121,62.69%,0,0,0,0,0.00%,74,F,W,1,BOS,195,1946,9/22/1923,Long Beach State,6/10/1992
brindau01,Audley  Brindley,,12,0,1,44,1,0,3,3,3,0,20,0,0,0,0,55,17,34,30.91%,13,10,76.92%,0,0,0,0,0.00%,76,F,W,1,NYK,175,1946,12/31/1923,Dartmouth,11/19/1957
brownha01,Harold V. Brown,,54,0,1,264,39,0,0,0,0,0,122,0,0,0,0,383,95,190,24.80%,117,74,63.25%,0,0,0,0,0.00%,72,G,W,1,DTF,155,1946,10/2/1923,Evansville,0000-00-00
